# Obtained from SDSS, fits file spec-5881-56038-0872.fits, url=
#Ang,e-17 erg/s/cm2/Ang,e-17 erg/s/cm2/Ang
wavelength,flux,fluxerr
3603.2964,67.3469,5.376164
3604.1252,70.26655,5.291965
3604.9565,69.575134,5.473062
3605.786,69.23963,5.3011174
3606.6172,72.781845,5.46599
3607.447,79.04971,5.4639583
3608.2788,64.30702,5.2229843
3609.109,67.4319,5.151681
3609.9392,64.57929,5.082615
3610.7717,58.904266,5.694973
3611.6023,89.833725,8.121595
3612.435,78.78859,7.322805
3613.266,65.56712,5.6658807
3614.0994,66.922066,5.119587
3614.9307,73.580795,5.360277
3615.7625,77.189865,5.4565754
3616.5962,79.04132,5.4555078
3617.4282,75.07926,5.367976
3618.2625,76.610085,5.288118
3619.0947,71.76572,5.1782637
3619.9292,67.33887,4.9727235
3620.762,72.97372,5.143882
3621.597,81.12783,5.2555294
3622.4302,74.331406,5.1797247
3623.2634,78.183014,5.1415596
3624.0989,72.636826,5.135918
3624.9326,73.42171,5.0884
3625.7686,86.42055,5.4870696
3626.6028,85.958916,5.446447
3627.439,79.37705,5.3250365
3628.2734,80.02368,5.275758
3629.1082,81.37803,5.2913165
3629.945,78.80113,5.177937
3630.78,77.57222,5.0807586
3631.6174,81.306,5.0753193
3632.453,71.57393,4.9216723
3633.2903,80.86672,4.974827
3634.1262,82.46406,5.02175
3634.9622,74.876976,4.844568
3635.8005,73.2339,4.728749
3636.637,79.54942,4.8448977
3637.4756,74.69402,4.740338
3638.3123,77.0188,4.725438
3639.1514,78.11576,4.732129
3639.9885,77.81459,4.701889
3640.826,76.42795,4.670316
3641.6653,70.29236,4.488328
3642.5032,69.15287,4.452189
3643.343,70.600006,4.4662027
3644.1812,71.75734,4.499692
3645.0215,76.73878,4.591059
3645.86,82.89098,4.752478
3646.699,82.5139,4.73389
3647.5398,87.03813,4.777569
3648.379,77.16758,4.5888877
3649.2202,76.40888,4.556353
3650.0596,75.32809,4.550944
3650.9014,70.755424,4.4664936
3651.7412,79.00148,4.610382
3652.5813,74.33383,4.476329
3653.4236,76.22203,4.4648743
3654.2642,76.706375,4.4508204
3655.1067,72.79564,4.3740597
3655.9475,71.57696,4.3236766
3656.7908,77.64944,4.4665055
3657.6318,75.978325,4.453803
3658.4734,73.07815,4.371238
3659.317,72.62029,4.3767195
3660.1587,75.84246,4.4399467
3661.003,78.92088,4.486774
3661.845,76.72281,4.424706
3662.6895,75.94186,4.351558
3663.532,73.5033,4.309242
3664.3748,69.99817,4.184342
3665.2197,71.61991,4.232371
3666.063,77.26671,4.299116
3666.9084,77.24318,4.3135514
3667.752,74.62687,4.235934
3668.5977,80.08518,4.352548
3669.4417,76.366066,4.232409
3670.286,71.013916,4.116213
3671.132,70.92971,4.0733595
3671.9768,69.252914,4.0546017
3672.8235,76.475624,4.14733
3673.6685,72.662224,4.0450544
3674.5156,68.91895,3.9296894
3675.3608,76.66962,4.069955
3676.2063,81.41053,4.0556016
3677.0542,64.48768,3.8018188
3677.9,71.06728,3.9278016
3678.748,74.939316,3.9815319
3679.5945,77.14032,4.097356
3680.4429,82.601074,4.1908803
3681.2896,83.14916,4.1379604
3682.1365,71.26299,4.001162
3682.9856,76.6677,4.0119624
3683.8328,75.444016,3.9653141
3684.6824,73.03269,3.8825758
3685.53,71.91801,3.8153076
3686.38,70.92603,3.7698855
3687.2278,70.408676,3.7162156
3688.0781,68.7834,3.677858
3688.9265,71.73999,3.6962252
3689.7751,73.38448,3.7876163
3690.626,74.884315,3.7890012
3691.475,75.79335,3.8127117
3692.3264,72.74578,3.795311
3693.1758,76.514084,3.7992754
3694.0273,74.79228,3.7474496
3694.8772,70.55289,3.6627142
3695.7273,73.695015,3.7028499
3696.5793,77.432,3.693379
3697.43,69.51968,3.6833272
3698.2825,82.052284,3.7350693
3699.1333,74.54771,3.7996995
