filter,wavelength,flux_total,flux_err,flux_G,flux_G_err,flux_A,flux_A_err,flux_B,flux_B_err,flux_C,flux_C_err,flux_D,flux_D_err,source,upper_limit,observed_passband,flux_sub,flux_sub_err,telescope
2-7,3.26,0.0000355,0.0000021866,0,0,0,0,0,0,0,0,0,0,Chandra,0,0,0,0,Chandra
0.5-7,5.38,0.000197,0.0000048119,0,0,0,0,0,0,0,0,0,0,Chandra,0,0,0,0,Chandra
1.2-2,7.93,0.0000778,0.00000247,0,0,0,0,0,0,0,0,0,0,Chandra,0,0,0,0,Chandra
0.5-1.2,13.5,0.0000992,0.000004072,0,0,0,0,0,0,0,0,0,0,Chandra,0,0,0,0,Chandra
0.2-0.5,30.9,0.000597,0.00003176,0,0,0,0,0,0,0,0,0,0,Chandra,0,0,0,0,Chandra
FUV,1540,0.0916,0.0115,0,0,0,0,0,0,0,0,0,0,Galex,0,FUV (GALEX) AB,0.0914551875929511,0.0115000000011172,GALEX
NUV,2310,0.241,0.011,0,0,0,0,0,0,0,0,0,0,Galex,0,NUV (GALEX) AB,0.240798419384296,0.011000000001168,GALEX
u,3551,0.691872786692454,0.00637238385954518,0,0,0,0,0,0,0,0,0,0,SDSS+DR14,0,0,0.691439666757899,1.60311391161533E-07,SDSS
U,3600.85,0,0,0,0,0.356415702585206,0.0131308397389071,0,0,0,0,0,0,Toft+2000,0,0,0.356415702585206,0.0131308397389071,NOT
B,4306.12,0,0,0,0,0.622412914970559,0.0114652695975854,0,0,0,0,0,0,Toft+2000,0,0,0.622412914970559,0.0114652695975854,NOT
g,4686,0.758623425113102,0.00331751304474499,0,0,0,0,0,0,0,0,0,0,SDSS+DR14,0,0,0,0,SDSS
g,4810,0.442207647454016,0.00814576589628466,0,0,0,0,0,0,0,0,0,0,Panstarrs+DR2-AP,0,0,0,0,PanSTARRS
g,4810,0.428574422805143,0.0118419489262758,0,0,0,0,0,0,0,0,0,0,Panstarrs+DR2-psf,0,0,0,0,PanSTARRS
V,5389.63,0,0,0,0,0.445385563975502,0.0123064579229368,0.00739156050735438,0.000204236364458372,0,0,0,0,Toft+2000,0,0,0.452777124482856,0.0123081525462427,NOT
r,6166,0.920505205733792,0.0042373874962403,0.00640543111167439,0.00210730742025646,0.840864994048666,0.241315120604932,0.0155856985749168,0.00457983738045856,0,0,0,0,SDSS+DR14,0,0,0,0,SDSS
r,6170,0.568625391581102,0.0104744668012204,0,0,0,0,0,0,0,0,0,0,Panstarrs+DR2-AP,0,0,0,0,PanSTARRS
r,6170,0.539543231714412,0.00993875361897149,0,0,0,0,0,0,0,0,0,0,Panstarrs+DR2-psf,0,0,0,0,PanSTARRS
R,6396.64,0.888852415188532,0.0152212305694446,0.0434419826735047,0.00160046178742588,0.820180874751678,0.0151082900460962,0.0252295577633489,0.000929491257739509,0,0,0,0,Toft+2000,0,0,0.845410432515027,0.0151368550932874,NOT
i,7520,0.390145182753638,0.00718673985529572,0,0,0,0,0,0,0,0,0,0,Panstarrs+DR2-AP,0,0,0,0,PanSTARRS
i,7520,0.345482655369324,0.00954603854569686,0,0,0,0,0,0,0,0,0,0,Panstarrs+DR2-psf,0,0,0,0,PanSTARRS
i,7480,0.847278622414233,0.00780372450233417,0.0841728017133493,0.0021105487308445,0.729128886808736,0.0112327212611229,0.0339472270084021,0.000522979881159827,0,0,0,0,SDSS+DR14,0,0,0.80134016936308,1.60316191228121E-07,SDSS
I,8559.6,0.742876749126618,0.0121398761646239,0.0491595863343915,0.00181110609074118,0.648049559499571,0.0119375140418006,0.0456676032926559,0.00126184251089322,0,0,0,0,Toft+2000,0,0,0.693717162792226,0.0120040196609503,NOT
z,8660,0.525322798187248,0.00967680355292702,0,0,0,0,0,0,0,0,0,0,Panstarrs+DR2-AP,0,0,0,0,PanSTARRS
z,8660,0.452924954021612,0.00834318597900142,0,0,0,0,0,0,0,0,0,0,Panstarrs+DR2-psf,0,0,0,0,PanSTARRS
z,8932,0.801726518559161,0.00738417412116936,0,0,0,0,0,0,0,0,0,0,SDSS+DR14,0,0,0.736530921401778,1.60314684116496E-07,SDSS
y,9620,0.645098822108732,0.0118831594503647,0,0,0,0,0,0,0,0,0,0,Panstarrs+DR2-AP,0,0,0,0,PanSTARRS
y,9620,0.539543231714412,0.00993875361897149,0,0,0,0,0,0,0,0,0,0,Panstarrs+DR2-psf,0,0,0,0,PanSTARRS
J,12300,1.08,0.0555,0,0,0,0,0,0,0,0,0,0,2MASS,0,J (2MASS/FLWO),0.960158621223866,0.0555000000002315,2MASS
H,16600,0.899,0.0663,0.207390989847886,0.0360369820168906,0.559787088434799,0.0473890750191791,0.131832618175261,0.0111603607188413,0,0,0,0,2MASS,0,H (2MASS/FLWO),0.725221742288908,0.0663000000001937,2MASS
K_s,21600,1.29,0.081,0,0,0,0,0,0,0,0,0,0,2MASS,0,K_s (2MASS/FLWO),1.08693926243071,0.0810000000001586,2MASS
W1,33500,2.19,0.0484,0,0,0,0,0,0,0,0,0,0,WISE,0,W1 (WISE),2.05054450331894,0.0484000000002654,WISE
W2,45900,4,0.0775,0,0,0,0,0,0,0,0,0,0,WISE,0,W2 (WISE),3.91004468305262,0.0775000000001657,WISE
W3,115000,8.69,0.216,0,0,0,0,0,0,0,0,0,0,WISE,0,W3 (WISE),8.66627906330934,0.216000000000059,WISE
W4,220000,18.1,1.42,0,0,0,0,0,0,0,0,0,0,WISE,0,W4 (WISE),18.0889647416054,1.42000000000001,WISE
SPIRE_250mu,2500000,37,10,0,0,0,0,0,0,0,0,0,0,Stacey+2018,0,0,37,10,Herschel
SPIRE_350mu,3500000,30,0,0,0,0,0,0,0,0,0,0,0,Stacey+2018,1,0,30,0,Herschel
450mu,4500000,70,0,0,0,0,0,0,0,0,0,0,0,Barvainis+2002,1,0,70,0,SCUBA
SPIRE_500mu,5000000,32,0,0,0,0,0,0,0,0,0,0,0,Stacey+2018,1,0,32,0,Herschel
850mu,8500000,6.5,0,0,0,0,0,0,0,0,0,0,0,Barvainis+2002,1,0,6.5,0,SCUBA
15Ghz,199860000,0,0,0,0,43,0.3,14.5,0.3,0,0,0,0,Rusin+2001,0,0,0,0,VLA
U,200660000,0,0,0,0,43.78,0.25,14.34,0.25,0,0,0,0,Myers+1999,0,0,0,0,VLA
8.64Ghz,347000000,0,0,0,0,47.92,0.238,16.11,0.238,0,0,0,0,Edwards+2001,0,0,0,0,ATCA
X,354000000,0,0,0,0,52.27,0.16,17.23,0.16,0,0,0,0,Myers+1999,0,0,0,0,VLA
8.4Ghz,356000000,0,0,0,0,48.5,0.1,15.5,0.1,0,0,0,0,Rusin+2001,0,0,0,0,VLA
6.08Ghz,493000000,0,0,0,0,53.15,0.238,17.97,0.238,0,0,0,0,Edwards+2001,0,0,0,0,ATCA
