nu_obs,nu_rest,nuLnu,nuLnu_err,upp
230609583076.9229,597048210586.1534,5.035795890594717e+44,9.192325832037975e+43,False
352697009411.7645,913132557367.0583,4.462157143019969e+44,1.1002579256761568e+44,False
599584915999.9999,1552325347523.9998,3.8316079021087785e+45,9.579019755271946e+44,True
856549879999.9998,2217607639319.9995,3.6923555995368586e+45,8.968986112664879e+44,False
1199169832000.0,3104650695048.0,7.039736313001072e+45,1.2556580557730833e+45,False
12491352416666.654,32340111406749.97,1.392040249981459e+45,4.867353266298914e+43,False
13626929909090.895,35280121534636.33,4.4575774292119747e+45,1.1143943573029937e+45,True
26068909391304.332,67492406414086.914,2.3504024798725693e+45,3.4948266278774257e+44,False
65314261002178.53,169098621734640.22,2.861896083454e+45,1.2005175419956951e+44,False
89490285970149.14,231690350376716.12,3.499377230451622e+45,1.195561897953887e+44,False
335638667711598.6,868968510705328.9,2.291861650215602e+45,3.699814925421186e+44,False
400792056149731.94,1037650633371656.0,1.4441610582943258e+45,8.32263314769969e+43,False
486202494323709.6,1258778257804084.2,8.436887466657638e+44,1.0400183769161988e+44,False
639761967562953.5,1656343734020486.5,6.160220712822195e+44,6.910189361912368e+43,False
1297802848484846.5,3360011574727267.5,1.808746739279761e+44,5.939189965879315e+43,False
1946704272727270.0,5040017362090902.0,3.0572904456764077e+44,9.413453167388402e+43,False
