filter,wavelength,flux_total,flux_err,flux_G,flux_G_err,flux_A,flux_A_err,flux_B,flux_B_err,flux_C,flux_C_err,flux_D,flux_D_err_1,source,upper_limit
0,30000000.0,25.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Barvainis+2002,0.0
0,0.0,12.6,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Barvainis+2002,0.0
0,0.0,7.3,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Barvainis+2002,0.0
F814W,8029.29,0.0,0.0,0.0,0.0,0.0,0.0,0.003092380061613183,8.544561878091029e-05,0.007215939186408282,0.00039876753606180704,0.0,0.0,Munoz+2011,0.0
F555W,5355.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0005132073463074182,4.726814340889977e-05,0.002159199964740481,0.00021875663267060687,0.0,0.0,Munoz+2011,0.0
u,3551.0,-0.00036843436657424666,3.6482055007813306e-10,-0.00036843436657424666,3.6482055007813306e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SDSS+DR14,0.0
g,4686.0,0.007502475946727583,1.719246999776192e-10,0.007502475946727583,1.719246999776192e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SDSS+DR14,0.0
r,6166.0,0.016739106987896706,3.4014135067315725e-10,0.016739106987896706,3.4014135067315725e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SDSS+DR14,0.0
i,7480.0,0.03310221412506323,4.201601154558112e-10,0.03310221412506323,4.201601154558112e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SDSS+DR14,0.0
z,8932.0,0.05742201632325158,1.7555074331153766e-09,0.05742201632325158,1.7555074331153766e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SDSS+DR14,0.0
