filter,wavelength,flux_total,flux_err,flux_G,flux_G_err,flux_G1,flux_G1_err,flux_G2,flux_G2_err,flux_A,flux_A_err,flux_B,flux_B_err,flux_C,flux_C_err,flux_D,flux_D_err,source,upper_limit,observed_passband,flux_sub,flux_sub_err,telescope
8.4Ghz,357000000,83,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Snellen+1995,0,0,83,4,VLA
15Ghz,200000000,81,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Snellen+1995,0,0,81,4,VLA
W1,33500,0.831,0.0184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,WISE,0,W1 (WISE),0.374001761140641,0.0185877216843452,WISE
W2,45900,0.856,0.0189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,WISE,0,W2 (WISE),0.582050634265501,0.0192386017404867,WISE
W3,115000,2.53,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,WISE,0,W3 (WISE),2.25497959387798,0.103155950202018,WISE
W4,220000,7.91,0.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,WISE,0,W4 (WISE),7.53588345297942,0.622582268428234,WISE
J,12300,0.38,0.0602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2MASS,0,J (2MASS/FLWO),0.112832564139376,0.0602128505154515,2MASS
H,16600,0.58,0.0918,0.41302323585385,0.0471782214391197,0.247793111644674,0.0392483706921162,0.165230124209176,0.0261791897539409,0.0611067560811466,0.0104478663131762,0.0467831251150797,0.0084667774254276,0.0375050051414806,0.0064801290222375,0.0215818778084433,0.0035260502739502,2MASS,0,H (2MASS/FLWO),0.16697676414615,0.0153384918798753,2MASS
K_s,21600,0.764,0.109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2MASS,0,K_s (2MASS/FLWO),0.312544331782922,0.10900360646397,2MASS
SPIRE_250mu,2500000,33,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Stacey+2018,0,0,33,6,Herschel
SPIRE_350mu,3500000,33,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Stacey+2018,0,0,33,4,Herschel
SPIRE_500mu,5000000,28,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Stacey+2018,0,0,28,5,Herschel
3mm,30000000,8.1,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Barvainis+2002,0,0,8.1,0.4,IRAM
1.3mm,13000000,5.6,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Barvainis+2002,0,0,5.6,1.7,IRAM
850mu,8500000,8.1,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Barvainis+2002,0,0,8.1,1.7,SCUBA
g,4810,0.0324299555129365,0.001141566889588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PanSTARRS+DR2-AP,0,0,0.0190071475458297,0.00136501290235581,PanSTARRS
r,6170,0.0558452306406617,0.0012113541217972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PanSTARRS+DR2-AP,0,0,0.00447582477108415,0.00138811754855368,PanSTARRS
i,7520,0.11159023519043,0.002054026420513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PanSTARRS+DR2-AP,0,0,0.00246796279456374,0.00208334292150485,PanSTARRS
z,8660,0.172371680978809,0.0038993087506849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PanSTARRS+DR2-AP,0,0,0.0194144000149239,0.00390859420841352,PanSTARRS
y,9620,0.296227914395564,0.0107240914986581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PanSTARRS+DR2-AP,0,0,0.102776884964326,0.0107270672844808,PanSTARRS
2-7,3.26,0.000000061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Chandra,1,0,0.000000061,0,Chandra
0.5-7,5.38,0.000002816,0.000000384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Chandra,0,0,0.000002816,0.000000384,Chandra
1.2-2,7.93,0.000000743,0.000000171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Chandra,0,0,0.000000743,0.000000171,Chandra
0.5-1.2,13.5,0.000001583,0.000000368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Chandra,0,0,0.000001583,0.000000368,Chandra
0.2-0.5,30.9,0.00000969,0.000002575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Chandra,0,0,0.00000969,0.000002575,Chandra
LOFAR,20800000000,8.45,1.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Luichies+2022*,0,0,0,0,LOFAR
