,wavelength,transmission
0,3010.0,0.0005
1,3020.0,0.001
2,3030.0,0.00185
3,3040.0,0.0032
4,3050.0,0.0053
5,3060.0,0.0084
6,3070.0,0.01265
7,3080.0,0.01845
8,3090.0,0.026150000000000003
9,3100.0,0.035750000000000004
10,3110.0,0.047400000000000005
11,3120.0,0.06155
12,3130.0,0.07745
13,3140.0,0.09545
14,3150.0,0.1155
15,3160.0,0.13735
16,3170.0,0.16085000000000002
17,3180.0,0.1855
18,3190.0,0.21170000000000003
19,3200.0,0.239
20,3210.0,0.266
21,3220.0,0.2933
22,3230.0,0.32065
23,3240.0,0.3468
24,3250.0,0.37325
25,3260.0,0.39899999999999997
26,3270.0,0.42345
27,3280.0,0.4473
28,3290.0,0.4697
29,3300.0,0.49155
30,3310.0,0.5121
31,3320.0,0.5325500000000001
32,3330.0,0.5517
33,3340.0,0.56885
34,3350.0,0.58545
35,3360.0,0.6013000000000001
36,3370.0,0.61655
37,3380.0,0.63
38,3390.0,0.6426999999999999
39,3400.0,0.6553
40,3410.0,0.66755
41,3420.0,0.6775
42,3430.0,0.6877
43,3440.0,0.6970999999999999
44,3450.0,0.7070000000000001
45,3460.0,0.7154
46,3470.0,0.7233499999999999
47,3480.0,0.7311
48,3490.0,0.7373000000000001
49,3500.0,0.74485
50,3510.0,0.75
51,3520.0,0.7559
52,3530.0,0.7598999999999999
53,3540.0,0.7658
54,3550.0,0.7695000000000001
55,3560.0,0.7729
56,3570.0,0.77495
57,3580.0,0.77875
58,3590.0,0.7805
59,3600.0,0.7820999999999999
60,3610.0,0.784
61,3620.0,0.7842
62,3630.0,0.78645
63,3640.0,0.7844
64,3650.0,0.7828499999999999
65,3660.0,0.7827
66,3670.0,0.7798999999999999
67,3680.0,0.77685
68,3690.0,0.77455
69,3700.0,0.77035
70,3710.0,0.7629
71,3720.0,0.75725
72,3730.0,0.7505
73,3740.0,0.7415999999999999
74,3750.0,0.73275
75,3760.0,0.7211
76,3770.0,0.70845
77,3780.0,0.6947
78,3790.0,0.6797
79,3800.0,0.6622
80,3810.0,0.6425
81,3820.0,0.62135
82,3830.0,0.59965
83,3840.0,0.57565
84,3850.0,0.54885
85,3860.0,0.5224
86,3870.0,0.49305
87,3880.0,0.46225
88,3890.0,0.43105
89,3900.0,0.39875
90,3910.0,0.3657
91,3920.0,0.33265
92,3930.0,0.3009
93,3940.0,0.26975
94,3950.0,0.23954999999999999
95,3960.0,0.20989999999999998
96,3970.0,0.18275
97,3980.0,0.15765
98,3990.0,0.1343
99,4000.0,0.113
100,4010.0,0.094
101,4020.0,0.07755
102,4030.0,0.06355000000000001
103,4040.0,0.05135
104,4050.0,0.041100000000000005
105,4060.0,0.03245
106,4070.0,0.02545
107,4080.0,0.01965
108,4090.0,0.01505
109,4100.0,0.011399999999999999
110,4110.0,0.0086
111,4120.0,0.00645
112,4130.0,0.0048
113,4140.0,0.0035499999999999998
114,4150.0,0.0026
115,4160.0,0.0019
116,4170.0,0.00135
117,4180.0,0.001
118,4190.0,0.0007000000000000001
119,4200.0,0.0005
