# Obtained from SDSS, fits file spec-1922-53315-0582.fits, url=
#Ang,e-17 erg/s/cm2/Ang,e-17 erg/s/cm2/Ang
wavelength,flux,fluxerr
3809.7805,10.072917,2.0143979
3810.659,9.374704,2.067689
3811.5356,10.492561,2.1250758
3812.4126,13.319315,2.2283535
3813.2917,12.524185,2.2327156
3814.169,10.29009,2.2258797
3815.0483,9.7471485,2.2293463
3815.926,8.481766,2.2046478
3816.806,6.1394024,2.136157
3817.684,7.6561327,2.1266654
3818.5623,13.233382,2.1674716
3819.4429,14.986748,2.146653
3820.3215,15.240223,2.067253
3821.2024,7.402325,1.8868513
3822.0815,8.705237,1.8268868
3822.963,14.679615,2.054189
3823.8423,12.210554,2.0085032
3824.724,11.490301,1.8288535
3825.604,11.827395,1.7305636
3826.4841,12.053104,1.6996192
3827.3665,7.0279846,1.6226921
3828.2468,15.686855,1.7748127
3829.1296,11.8648615,1.7882345
3830.0105,10.555847,1.8371894
3830.8938,11.759667,1.8841621
3831.7751,10.340453,1.9004713
3832.6565,11.386493,1.9130269
3833.5403,11.08804,1.8755258
3834.4224,12.779758,1.8603041
3835.3064,13.416239,1.8544538
3836.1887,9.969075,1.7941514
3837.0735,9.877381,1.7776139
3837.956,11.18764,1.7502539
3838.839,10.22369,1.6984912
3839.7244,11.224501,1.6620216
3840.6077,13.602365,1.6573955
3841.4932,11.1335535,1.6206021
3842.377,9.519145,1.619015
3843.263,9.284408,1.6841551
3844.1472,15.3320055,1.8498293
3845.0315,10.224476,1.8708183
3845.9182,12.444514,1.9618044
3846.803,13.2321205,1.9976515
3847.69,11.221697,1.984219
3848.5752,13.380255,1.956306
3849.4626,14.713383,1.9032557
3850.3481,9.847654,1.7873448
3851.234,14.867295,1.7999654
3852.122,9.659252,1.7136703
3853.0083,12.3883505,1.7181884
3853.8967,14.801033,1.74013
3854.7832,11.147531,1.6790264
3855.672,12.967713,1.6833494
3856.559,14.439636,1.696349
3857.4463,11.915721,1.6656599
3858.336,13.039637,1.6707927
3859.2234,12.566211,1.629318
3860.1135,12.474264,1.5904135
3861.0015,13.388379,1.6122543
3861.8918,12.593061,1.6511991
3862.7803,17.745815,1.7629752
3863.6687,14.925454,1.7841252
3864.5598,11.385656,1.7709013
3865.4487,13.110294,1.7619447
3866.34,13.666856,1.7225134
3867.2297,11.586669,1.6693467
3868.1213,15.744538,1.6854702
3869.0112,13.799606,1.6506722
3869.9014,13.198566,1.6517311
3870.7937,11.6393795,1.6599495
3871.684,14.365093,1.6791269
3872.577,13.690923,1.6541647
3873.4678,12.956922,1.6688329
3874.361,15.44415,1.7282788
3875.2524,16.786266,1.8108084
3876.1438,15.134401,1.8055052
3877.0376,14.103423,1.741605
3877.9297,16.854479,1.6721027
3878.8237,13.088672,1.5825251
3879.716,13.857009,1.5814266
3880.6108,18.37697,1.6137205
3881.5037,16.22728,1.5838872
3882.3965,15.087993,1.5542468
3883.2917,15.230042,1.5613958
3884.185,11.644231,1.5558444
3885.0808,16.042105,1.6320642
3885.9746,18.373182,1.6978881
3886.8706,15.095682,1.6421696
3887.765,13.435088,1.6098334
3888.6592,16.052612,1.6027241
3889.556,15.522079,1.6111637
3890.4507,14.879065,1.6055793
3891.348,15.094285,1.616183
3892.243,15.094573,1.6379267
3893.1406,16.705688,1.6802354
3894.0361,17.259535,1.689111
3894.934,18.210903,1.7031275
3895.83,16.150175,1.6589314
3896.7263,17.796524,1.6638758
3897.625,18.775799,1.6837312
3898.5215,16.807602,1.6554772
3899.4207,16.768225,1.6565638
3900.3176,16.2522,1.6604711
3901.217,16.567844,1.6818238
3902.1145,21.920982,1.7489294
3903.0122,21.548412,1.7451193
3903.912,21.96511,1.7307699
3904.8103,18.465055,1.6740047
3905.7107,16.131971,1.6454616
3906.6094,20.211939,1.6963452
3907.51,21.544325,1.7207917
3908.409,19.940962,1.7396444
3909.308,19.582966,1.7345711
3910.2097,19.701515,1.7393146
3911.1091,19.51115,1.7128569
3912.011,20.465733,1.8136958
3912.9111,20.579304,1.9004351
3913.8132,19.897865,1.91241
3914.7136,25.046234,1.9606141
3915.6143,25.635517,1.9244071
3916.517,21.901505,1.8148092
3917.4182,22.537426,1.7651978
3918.3215,22.964014,1.7191705
3919.223,20.666235,1.6794314
3920.1267,25.036509,1.7292103
3921.0286,24.122568,1.7017915
3921.9307,23.328566,1.675247
3922.835,23.217213,1.6729764
3923.7373,25.698938,1.7619306
3924.642,25.524889,1.7472258
3925.5452,26.800035,1.7807506
3926.4502,28.27731,1.7719071
3927.3535,26.852768,1.7322937
3928.257,25.695032,1.6841828
3929.1628,26.157045,1.6485105
3930.0667,25.427238,1.613075
3930.9731,24.481138,1.5712997
3931.8774,24.72654,1.5613772
3932.784,24.720406,1.5468762
3933.6887,20.658068,1.4465392
3934.5938,14.274643,1.341019
3935.501,10.064278,1.2546111
3936.4062,10.372996,1.2710686
3937.3142,14.5875845,1.3468226
3938.22,19.77572,1.4665675
3939.128,21.304901,1.4992799
3940.0342,20.357111,1.5034561
3940.9407,17.874386,1.4722037
3941.8494,9.395432,1.3538108
3942.756,8.127425,1.3495934
3943.6653,11.632914,1.4128023
3944.5725,15.911979,1.5002156
3945.4822,18.26974,1.5740913
3946.39,16.135077,1.5899259
3947.2979,16.90702,1.6560844
3948.208,13.837185,1.6011856
3949.1162,12.058965,1.5378102
3950.0269,13.044894,1.4950473
3950.9355,18.740305,1.5506344
3951.8467,17.636698,1.5615678
3952.7559,16.936512,1.5566413
3953.665,16.47677,1.5401089
3954.577,14.405641,1.518932
3955.4866,16.826653,1.5448904
3956.3987,14.828088,1.5133857
3957.3088,14.662652,1.4733812
3958.2214,14.153501,1.4376329
3959.132,14.770056,1.4522634
3960.045,16.46314,1.4554759
3960.956,15.924727,1.4233698
3961.8672,13.883326,1.3628826
3962.7808,11.812035,1.2961146
3963.6924,11.524723,1.2743076
3964.6064,13.917567,1.3110579
3965.5186,14.915436,1.3591225
3966.4329,14.527812,1.371523
3967.3455,14.00734,1.3570253
3968.258,13.055117,1.3245909
3969.173,14.59135,1.3012867
3970.0862,11.907042,1.2455086
3971.0017,10.279014,1.210233
3971.9153,12.557809,1.2220527
3972.8313,13.114212,1.2533786
3973.745,11.790522,1.2593268
3974.6592,14.564248,1.3314402
3975.576,13.6910095,1.3530384
3976.4905,13.7104,1.4020786
3977.4075,13.554831,1.4351339
3978.3225,12.769571,1.4314097
3979.2397,11.340901,1.4229666
3980.1553,11.683579,1.40915
3981.0708,13.670282,1.4260085
3981.9888,13.3867,1.4075376
3982.905,11.217087,1.3664492
3983.8232,13.0591755,1.3668876
3984.7397,13.14927,1.3716477
3985.6587,13.885378,1.395061
3986.5757,14.404052,1.4243013
3987.4927,12.067759,1.3882636
3988.412,11.94424,1.4003938
3989.3298,12.913562,1.404385
3990.2498,11.581199,1.3961151
3991.1677,10.246647,1.3723525
3992.088,11.460017,1.3873488
3993.0063,11.553423,1.4165151
3993.925,12.962274,1.4749731
3994.846,13.414097,1.4794825
3995.765,12.285738,1.4507278
3996.6863,13.261307,1.4441407
3997.6057,11.136881,1.3816516
3998.5276,11.876815,1.3674576
3999.4475,12.798757,1.3762147
4000.3674,10.23638,1.3820719
4001.29,10.217613,1.6870404
4002.2104,11.625229,1.6539998
4003.1333,10.032843,1.6490945
4004.0544,14.350963,1.7152915
4004.9775,14.304315,1.7272667
4005.899,13.4201355,1.4931782
4006.8206,13.04754,1.3988435
4007.7446,10.084421,1.3576938
4008.6665,10.618676,1.3615382
4009.5908,12.992954,1.3872902
4010.5132,10.233645,1.3789178
4011.438,10.479323,1.4334768
4012.3608,8.344164,1.4552704
4013.284,12.397258,1.505172
4014.2095,11.167685,1.4488155
4015.1328,12.824748,1.4253083
4016.0588,10.756999,1.3712729
4016.9827,10.651373,1.3427305
4017.909,10.719384,1.3280394
4018.8333,10.410499,1.3263882
4019.7578,12.192621,1.6324533
4020.6848,12.496758,1.6873842
