filter,wavelength,flux_total,flux_err,flux_G,flux_G_err,flux_A,flux_A_err,flux_B,flux_B_err,flux_C,flux_C_err,flux_D,flux_D_err,source,upper_limit,observed_passband,telescope,flux_sub,flux_sub_err,obs_nu,rest_nu,rest_wl_um,log_rest_nu,log_obs_nu
SPIRE_500mu,5000000,26,0,0,0,0,0,0,0,0,0,0,0,Stacey+2018,1,0,Herschel,26,0,600000000000,1524000000000,196.850393700787,11.3733175337637,11.7781512503836
SPIRE_350mu,3500000,21,0,0,0,0,0,0,0,0,0,0,0,Stacey+2018,1,0,Herschel,21,0,857142857142.857,2177142857142.86,137.795275590551,11.5282194937494,11.9330532103694
SPIRE_250mu,2500000,40,9,0,0,0,0,0,0,0,0,0,0,Stacey+2018,0,0,Herschel,40,9,1200000000000,3048000000000,98.4251968503937,11.6743475294277,12.0791812460476
W4,220000,3.93,0,0,0,0,0,0,0,0,0,0,0,WISE,1,W4 (WISE),WISE,3.81376263166202,6.74068784537795E-08,13636363636363.6,34636363636363.6,8.66141732283465,12.7298648572775,13.1346985738975
W3,115000,1.24,0.16,0,0,0,0,0,0,0,0,0,0,WISE,0,W3 (WISE),WISE,1.17415823309621,0.160000000000014,26086956521739.1,66260869565217.4,4.52755905511811,13.0115896977461,13.4164234143661
W2,45900,0.632,0.0204,0,0,0,0,0,0,0,0,0,0,WISE,0,W2 (WISE),WISE,0.597618577655006,0.0204000000001114,65359477124183,166013071895425,1.80708661417323,13.4104748525625,13.8153085691824
L',37590.74,0,0,0,0,0.197056948,0.001814962,0.032403487,0,0,0,0,0,Fadely+2011,1,0,Gemini North,0.229460435,0.001814962,79806888611397.4,202709497072949,1.47995039370079,13.4972066629112,13.9020403795312
W1,33500,0.439,0.0129,0,0,0,0,0,0,0,0,0,0,WISE,0,W1 (WISE),WISE,0.387670286041898,0.0129000000001761,89552238805970.2,227462686567164,1.31889763779528,13.5472427310629,13.9520764476828
K,22089.98,0,0,0,0,0.106213562,0.000978263,0.043070506,0.003173552,0,0,0,0,Fadely+2011,0,0,Gemini North,0.149284068,0.00332090812788806,135808180903740,344952779495500,0.869684251968504,13.7280922154331,14.132925932053
CONICA_H,16500,0.2967,0.175925,0.0964,0.016,0.136,0.0175,0.0643,0.00829,0,0,0,0,Sluse+2008,0,H(VLT),VLT,0.2003,0.0193642479843654,181818181818182,461818181818182,0.649606299212598,13.8548035938858,14.2596373105058
y,9620,0.121469222,0.002512204,0,0,0,0,0,0,0,0,0,0,PanSTARRS+DR2-psf,0,0,PanSTARRS,0,0,311850311850312,792099792099792,,,
y,9620,0.199740723,0.00397095,0,0,0,0,0,0,0,0,0,0,PanSTARRS+DR2-ap,0,0,PanSTARRS,0,0,311850311850312,792099792099792,,,
z,8932,0.145890243,0.004031096,0,0,0,0,0,0,0,0,0,0,SDSS+DR14,0,0,SDSS,0.125169119308394,0.00403109600056358,335871025526198,853112404836543,0.351653543307087,14.1213388237003,14.5261725403203
z,8660,0.13080563,0.001883047,0,0,0,0,0,0,0,0,0,0,PanSTARRS+DR2-psf,0,0,PanSTARRS,0,0,346420323325635,879907621247113,,,
z,8660,0.194028671,0.003491756,0,0,0,0,0,0,0,0,0,0,PanSTARRS+DR2-ap,0,0,PanSTARRS,0,0,346420323325635,879907621247113,,,
i,7520,0.113288532,0.001872324,0,0,0,0,0,0,0,0,0,0,PanSTARRS+DR2-psf,0,0,PanSTARRS,0,0,398936170212766,1.01329787234043E+015,,,
i,7520,0.165449911,0.001440495,0,0,0,0,0,0,0,0,0,0,PanSTARRS+DR2-ap,0,0,PanSTARRS,0,0,398936170212766,1.01329787234043E+015,,,
i,7480,0.12706509,0.001170313,0.014407803,0.000453494,0.064061597,0.000757056,0.048595691,0.000555525,0,0,0,0,SDSS+DR14,0,0,SDSS,0.112657288,0.00093901108234195,401069518716578,1018716577540107,0.294488188976378,14.1983859402353,14.6032196568552
r,6170,0.08189671,0.001653795,0,0,0,0,0,0,0,0,0,0,PanSTARRS+DR2-psf,0,0,PanSTARRS,0,0,486223662884927,1.23500810372771E+015,,,
r,6170,0.109090407,0.001953253,0,0,0,0,0,0,0,0,0,0,PanSTARRS+DR2-ap,0,0,PanSTARRS,0,0,486223662884927,1.23500810372771E+015,,,
r,6166,0.096388728,0.000887773,0.0066310419999999,0.000286961,0.053651487,0.000634116,0.036106199,0.000589727,0,0,0,0,SDSS+DR14,0,0,SDSS,0.089757686,0.000865956717154501,486539085306520,1.23580927667856E+015,0.242755905511811,14.2822840177092,14.6871177343292
g,4810,0.0720022459999999,0.001234681,0,0,0,0,0,0,0,0,0,0,PanSTARRS+DR2-psf,0,0,PanSTARRS,0,0,623700623700624,1.58419958419958E+015,,,
g,4810,0.084642029,0.002119761,0,0,0,0,0,0,0,0,0,0,PanSTARRS+DR2-ap,0,0,PanSTARRS,0,0,623700623700624,1.58419958419958E+015,,,
g,4686,0.071783768,0.000661153,0.002659284,0.000206022,0.043728517,0.000517191,0.025395967,0.000416885,0,0,0,0,SDSS+DR14,0,0,SDSS,0.069124484,0.000664288817989585,640204865556978,1.62612035851472E+015,0.184488188976378,15.2111526870787,14.8063189704587
u,3551,0.049662234,0.001372218,0,0,0,0,0,0,0,0,0,0,SDSS+DR14,0,0,SDSS,0.0484506862625886,0.0013722180016556,844832441565756,2.14587440157702E+015,0.139803149606299,15.331604299038,14.926770582418
NUV,2310,0.0172,0.000781,0,0,0,0,0,0,0,0,0,0,Galex,0,NUV (GALEX) AB,GALEX,0.0165824358576358,0.000781000002908891,1.2987012987013E+015,3298701298701299,0.0909448818897638,15.5183429914475,15.1135092748275
FUV,1540,0.00296,0.000584,0,0,0,0,0,0,0,0,0,0,Galex,0,FUV (GALEX) AB,GALEX,0.00283142832970253,0.000584000003890143,1948051948051948,4948051948051948,0.0606299212598425,15.6944342505031,15.2896005338832
0.2-0.5,30.9,0.000388,0.0000969,0,0,0,0,0,0,0,0,0,0,Chandra,0,0.2-0.5 keV Chandra,Chandra,0,0,9.70873786407767E+016,2.46601941747573E+017,,,
0.5-1.2,13.5,0.00000848,0.0000016,0,0,0,0,0,0,0,0,0,0,Chandra,0,0.5-1.2 keV Chandra,Chandra,0,0,2.22222222222222E+017,5.64444444444444E+017,,,
1.2-2,7.93,0.00000276,0.000000948,0,0,0,0,0,0,0,0,0,0,Chandra,0,1.2-2 keV Chandra,Chandra,0,0,3.78310214375788E+017,9.60907944514502E+017,,,
0.5-7,5.38,0.0000707,0.0000128,0,0,0,0,0,0,0,0,0,0,Chandra,0,0.5-7 keV Chandra,Chandra,0,0,5.57620817843866E+017,1.41635687732342E+018,,,
