telescope,filter,wavelength,mag,mag_err,mag_G,mag_G_err,mag_A,mag_A_err,mag_B,mag_B_err,mag_C,mag_C_err,mag_D,mag_D_err,source,lower_limit
PanSTARRS,g,,18.61,0.02,,,,,,,,,,,Panstarrs+DR2,0
PanSTARRS,r,,18.404,0.03,,,,,,,,,,,Panstarrs+DR2,0
PanSTARRS,i,,18.265,0.02,,,,,,,,,,,Panstarrs+DR2,0
PanSTARRS,z,,18.28,0.03,,,,,,,,,,,Panstarrs+DR2,0
PanSTARRS,y,,18.20,0.02,,,,,,,,,,,Panstarrs+DR2,0
SDSS,u,,18.70,0.02,,,,,,,,,,,SDSS+DR14,0
SDSS,g,,18.45,0.01,,,,,,,,,,,SDSS+DR14,0
SDSS,r,,18.22,0.01,,,,,,,,,,,SDSS+DR14,0
SDSS,i,,17.92,0.01,,,,,,,,,,,SDSS+DR14,0
SDSS,z,,17.87,0.03,,,,,,,,,,,SDSS+DR14,0
CASTLES,F160W,,,,17.23,0.4,17.96,0.02,18.87,0.03,19.22,0.02,20.64,0.06,CASTLES,0
CASTLES,F555W,,,,20.83,0.03,19.61,0.01,20.36,0.05,20.74,0.09,22.94,0.13,CASTLES,0
CASTLES,F814W,,,,19.38,0.02,18.75,0.05,19.64,0.01,20.57,0.19,21.93,0.05,CASTLES,0
