filter,wavelength,flux_total,flux_err,flux_G,flux_G_err,flux_A,flux_A_err,flux_B,flux_B_err,flux_C,flux_C_err,flux_D,flux_D_err,source,upper_limit,observed_passband,flux_sub,flux_sub_err
.,2500000.0,67.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Stacey+2018,0,0,67.0,8.0
.,3500000.0,56.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Stacey+2018,0,0,56.0,8.0
.,5000000.0,32.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Stacey+2018,0,0,32.0,10.0
g,4810.0,0.130624984,0.002406201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Panstarrs+DR2,0,0,0.1305997894641495,0.0025021206564641374
r,6170.0,0.157916041,0.0043633809999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Panstarrs+DR2,0,0,0.1578325708270581,0.004417001050290176
i,7520.0,0.17948421,0.003306221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Panstarrs+DR2,0,0,0.17934553118304125,0.0033766702278938228
z,8660.0,0.177021595,0.004891287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Panstarrs+DR2,0,0,0.1768519605078871,0.004939179389683323
y,9620.0,0.19055758899999997,0.0035102009999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Panstarrs+DR2,0,0,0.19035516770332864,0.0035766346734751263
u,3551.0,0.12023371,0.002214787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SDSS+DR14,0,0,0.12022733477473886,0.002318638821048359
g,4686.0,0.151365273,0.001394126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SDSS+DR14,0,0,0.1513432531603541,0.0015538313392963615
r,6166.0,0.18707952100000003,0.001723066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SDSS+DR14,0,0,0.1870011859501949,0.0018546592591253857
i,7480.0,0.24661883899999998,0.0022714429999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SDSS+DR14,0,0,0.2464829060493525,0.002372816433977252
z,8932.0,0.258241627,0.00713548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SDSS+DR14,0,0,0.25808205396941597,0.007168394475578442
F160W,16036.9,0.263716634,0.050248785,0.136322,0.050222881,0.069593062,0.001281952,0.030099962,0.000831693,0.021805495,0.00040167199999999994,0.005896115,0.000325831,CASTLES,0,0,0.127394634,0.0016132639005128704
F555W,5442.92,0.116149492,0.002078247,0.016962465,0.00046869,0.052178185999999994,0.000480579,0.026151041,0.0012043,0.018428457,0.001527591,0.002429344,0.00029087599999999997,CASTLES,0,0,0.099187028,0.0020247068370255485
F814W,7995.93,0.173969922,0.004474204,0.04345741400000001,0.000800515,0.07763613,0.0035752759999999996,0.034202975,0.00031502099999999996,0.014523252,0.002541518,0.0041501509999999995,0.000191122,CASTLES,0,0,0.13051250799999997,0.004402008413193346
0,33500.0,0.59,0.0158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WISE,0,W1 (WISE),0.5889344883717137,0.015814891859481796
0,45900.0,0.8240000000000001,0.0228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WISE,0,W2 (WISE),0.8231324057924755,0.02281032232405109
0,115000.0,1.63,0.155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WISE,0,W3 (WISE),1.625836857884482,0.15500151871684065
0,220000.0,4.11,1.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WISE,0,W4 (WISE),4.103687924028692,1.1300002083205678
0,3.26,1.24e-05,2.31e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Chandra,0,2-7 keV Chandra,1.24e-05,2.31e-06
0,5.38,1.77e-05,1.08e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Chandra,0,0.5-7 keV Chandra,1.77e-05,1.08e-06
0,7.93,8.43e-06,7.529999999999999e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Chandra,0,1.2-2 keV Chandra,8.43e-06,7.529999999999999e-07
0,13.5,9.69e-06,1.01e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Chandra,0,0.5-1.2 keV Chandra,9.69e-06,1.01e-06
0,30.9,4.74e-05,6.63e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Chandra,0,0.2-0.5 keV Chandra,4.74e-05,6.63e-06
0,12300.0,0.35700000000000004,0.0578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2MASS,0,J (2MASS/CTIO),0.35671398953732836,0.05780407256004635
0,16600.0,0.39299999999999996,0.0731,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2MASS,0,H (2MASS/CTIO),0.39257096640638056,0.0731032202062748
0,21600.0,0.525,0.0982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2MASS,0,K_s (2MASS/CTIO),0.5243966310969919,0.09820239714246849
H-VLT,16500.0,0.0,0.0,1.16,0.107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FAURE+2011(LENS),0,0,0.0,0.0
Ks-VLT,21700.0,0.0,0.0,1.82,0.251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FAURE+2011(LENS),0,0,0.0,0.0
0,1540.0,0.00698,0.000833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Galex,0,FUV (GALEX) AB,0.0069797417672070065,0.0010792096770801884
0,2310.0,0.0273,0.0009550000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Galex,0,NUV (GALEX) AB,0.027297953192439894,0.0011759377224596227
