filter,wavelength,flux_total,flux_err,flux_G,flux_G_err,flux_A,flux_A_err,flux_B,flux_B_err,flux_C,flux_C_err,flux_D,flux_D_err,source,upper_limit,observed_passband,flux_sub,flux_sub_err,telescope,flux_sub_demag,flux_sub_demag_err
SPIRE_250mu,2500000,126.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Stacey+2018,0,0,126.0,7.0,Herschel,12.6,6.338769596696191
SPIRE_350mu,3500000,91.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Stacey+2018,0,0,91.0,7.0,Herschel,9.1,4.603531253288066
SPIRE_500mu,5000000,36.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Stacey+2018,0,0,36.0,11.0,Herschel,3.6,2.1095023109728985
u,3551,0.14724014922130801,0.0027122637814976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SDSS+DR14,0,0,0.14491384486852546,0.002712674824993213,SDSS,0.014491384486852546,0.0072507683822826095
g,4686,0.15560596775631,0.0014331839269463,0.0209117873539552,0.0006017813111067,0.0570678030877499,0.0013531546520812,0.0356772321271611,0.0011491435040498,0.0242321056624944,0.0006741236973399,0.0177170395249494,0.0006738657125098,SDSS+DR14,0,0,0.13469418040235479,0.0020149680054929913,SDSS,0.013469418040235479,0.006737722652817259
r,6166,0.275439517493096,0.0025368917080043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SDSS+DR14,0,0,0.18525202932639853,0.031162094283156475,SDSS,0.018525202932639852,0.009772745117161061
i,7480,0.31334751069418704,0.0028860372282049,0.13276111618261502,0.0080066571083048,0.0523685917098971,0.0013661740076683,0.0563729672624879,0.0015745779012009,0.0372452501150725,0.0010897433228607,0.0345995854241139,0.0010272075606405,SDSS+DR14,0,0,0.18058639451157138,0.0025667923306210774,SDSS,0.018058639451157137,0.009032967338333931
z,8932,0.3435787132919199,0.0063289537879684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SDSS+DR14,0,0,0.13392380856116556,0.0064818994744021,SDSS,0.013392380856116557,0.006727489610306495
W1,33500,0.805,0.0193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WISE,0,W1 (WISE),0.49985374701263735,0.03263448807767155,WISE,0.049985374701263734,0.025204851103058534
W2,45900,1.22,0.0293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WISE,0,W2 (WISE),1.009808120843375,0.040201708131953694,WISE,0.10098081208433748,0.05065020114145983
W3,115000,3.34,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WISE,0,W3 (WISE),3.2850081957572055,0.16450976842274637,WISE,0.3285008195757205,0.16507220164081257
W4,220000,8.77,0.8809999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WISE,0,W4 (WISE),8.743872038187641,0.8810334764470892,WISE,0.8743872038187641,0.4459825617854399
J,12300,0.3879999999999999,0.0553,0.2458945391772245,0.0350590577341575,0.0568524106128114,0.0084217292141102,0.0423398079769928,0.0067424781545401,0.0282324705662637,0.0040669640775021,0.0146807716667074,0.0022966669762756,2MASS,0,J (2MASS/FLWO),0.1421054608227753,0.011755909604443848,2MASS,0.014210546082277531,0.007201869139009113
H,16600,0.557,0.0825,0.3252957175665967,0.0482656411510843,0.0964446954319291,0.0152504706180677,0.0711669487327331,0.0122592613072761,0.044491632975872,0.0066520264364572,0.0196010052928689,0.0030828032604776,2MASS,0,H (2MASS/FLWO),0.2317042824334031,0.020895441453263434,2MASS,0.02317042824334031,0.011772144281319917
K',21200,0.6931,0.03926,0.521,0.0288,0.152,0.00262,0.0957,0.0265,0.00627,0.00173,0.0195,0.000359,Rusu+2016,0,0,0.27347,0.026687753389897772,Subaru,0.027347,0.013931509755227535
FUV,1540,0.000583,0.00103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Galex,0,FUV (GALEX) AB,0.00035076320201413245,0.0010303722862583567,GALEX,3.5076320201413243e-05,0.00010451917308614122
NUV,2310,0.0333,0.00263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Galex,0,NUV (GALEX) AB,0.032932110325200305,0.002643754069228165,GALEX,0.0032932110325200304,0.0016676942411495929
