filter,wavelength,flux_total,flux_err,flux_G,flux_G_err,flux_A,flux_A_err,flux_B,flux_B_err,flux_C,flux_C_err,flux_D,flux_D_err,source,upper_limit,observed_passband,telescope,flux_sub,flux_sub_err
u,3551,0.0496622336573853,0.0013722182268513,0,0,0,0,0,0,0,0,0,0,SDSS+DR14,0,0,SDSS,0.0453906465219463,0.0014943322918246
g,4686,0.0731183275125033,0.0006734446838197,0,0,0,0,0,0,0,0,0,0,SDSS+DR14,0,0,SDSS,0.0562712073096327,0.00105386505981185
r,6166,0.115884739518709,0.0010673378948851,0,0,0,0,0,0,0,0,0,0,SDSS+DR14,0,0,SDSS,0.0625895898898149,0.00125168692421402
i,7480,0.157045772048812,0.0014464450145493,0,0,0,0,0,0,0,0,0,0,SDSS+DR14,0,0,SDSS,0.0671248563879052,0.00160698174802937
z,8932,0.178659555405935,0.0049365459479837,0,0,0,0,0,0,0,0,0,0,SDSS+DR14,0,0,SDSS,0.0571319501025334,0.00499361984322438
SPIRE_250mu,2500000,54,7,0,0,0,0,0,0,0,0,0,0,Stacey+2018,0,0,Herschel,54,7
SPIRE_350mu,3500000,34,7,0,0,0,0,0,0,0,0,0,0,Stacey+2018,0,0,Herschel,34,7
SPIRE_500mu,5000000,30,0,0,0,0,0,0,0,0,0,0,0,Stacey+2018,1,0,Herschel,30,0
K',21049.98,0.707824185370103,0.0243135416385628,0.263729780439647,0.0242904104407569,0.328972180335327,0,0.115122224595129,0.0010603148729002,0,0,0,0,Rusu+2016,0,0,Subaru,0.444094404930455,0.0010603148729002
g,4810,0.113476582749513,0.0010451579513717,0,0,0,0,0,0,0,0,0,0,panSTARRS+DR2-psf,0,0,PanSTARRS,0,0
r,6170,0.144952679855531,0.0038049310300036,0,0,0,0,0,0,0,0,0,0,panSTARRS+DR2-psf,0,0,PanSTARRS,0,0
i,7520,0.163390291998978,0.0072926494627065,0,0,0,0,0,0,0,0,0,0,panSTARRS+DR2-psf,0,0,PanSTARRS,0,0
z,8660,0.173470747104717,0.0022208372293274,0,0,0,0,0,0,0,0,0,0,panSTARRS+DR2-psf,0,0,PanSTARRS,0,0
y,9620,0.220569901331218,0.0059604910259943,0,0,0,0,0,0,0,0,0,0,panSTARRS+DR2-psf,0,0,PanSTARRS,0,0
g,4810,0.151518673584466,0.0018425295167594,0,0,0,0,0,0,0,0,0,0,panSTARRS+DR2-ap,0,0,PanSTARRS,0,0
r,6170,0.189054323043568,0.0036921564486114,0,0,0,0,0,0,0,0,0,0,panSTARRS+DR2-ap,0,0,PanSTARRS,0,0
i,7520,0.236192607230936,0.0053302000976415,0,0,0,0,0,0,0,0,0,0,panSTARRS+DR2-ap,0,0,PanSTARRS,0,0
z,8660,0.273241099544984,0.0164326760322162,0,0,0,0,0,0,0,0,0,0,panSTARRS+DR2-ap,0,0,PanSTARRS,0,0
y,9620,0.338615061976205,0.0213086155479552,0,0,0,0,0,0,0,0,0,0,panSTARRS+DR2-ap,0,0,PanSTARRS,0,0
W1,33500,0.657,0.0151,0,0,0,0,0,0,0,0,0,0,WISE,0,W1 (WISE),WISE,0.465700183610875,0.0151518607784885
W2,45900,1.09,0.025,0,0,0,0,0,0,0,0,0,0,WISE,0,W2 (WISE),WISE,0.957773984999288,0.025051781468721
W3,115000,2.91,0.121,0,0,0,0,0,0,0,0,0,0,WISE,0,W3 (WISE),WISE,2.78435883168194,0.121499831511708
W4,220000,5.51,0.726,0,0,0,0,0,0,0,0,0,0,WISE,0,W4 (WISE),WISE,5.3593008215209,0.726389834301368
J,12300,0.332,0.0517,0,0,0,0,0,0,0,0,0,0,2MASS,0,J (2MASS/FLWO),2MASS,0.135356586296749,0.0517241353180138
H,16600,0.577,0.0733,0,0,0,0,0,0,0,0,0,0,2MASS,0,H (2MASS/FLWO),2MASS,0.341091324518176,0.0733135002731784
K_s,21600,0.565,0.103,0,0,0,0,0,0,0,0,0,0,2MASS,0,K_s (2MASS/FLWO),2MASS,0.289264292717132,0.10300304456345
