nu_obs,nu_rest,nuLnu,nuLnu_err,upp
599584915999.9999,1325082664359.9998,1.5776012809401693e+45,3.944003202350423e+44,True
856549879999.9998,1892975234799.9995,2.4039638566707338e+45,5.258670936467231e+44,False
1199169832000.0,2650165328720.0,4.5224570053618186e+45,1.0517341872934463e+45,False
13626929909090.895,30115515099090.875,3.0604915161099944e+45,7.278734193665815e+44,False
26068909391304.332,57612289754782.57,9.678497874902115e+44,2.029020969189351e+44,False
65314261002178.53,144344516814814.56,1.9526217895395926e+45,1.4656403161128162e+44,False
89490285970149.14,197773531994029.6,2.221054257544047e+45,1.6697931518425542e+44,False
138792804629629.38,306732098231480.94,1.026853603171134e+45,1.0220905564853912e+45,False
180597866265060.25,399121284445783.1,2.239990324895827e+45,8.829001378335277e+44,False
243733705691056.78,538651489577235.5,1.2389999891063625e+45,8.652862595551982e+44,False
335638667711598.6,741761455642633.0,3.442222087252604e+45,1.9078623332435317e+44,False
400792056149731.94,885750444090907.6,3.139773286174059e+45,6.2758656092014895e+44,False
486202494323709.6,1074507512455398.2,3.040709362495717e+45,7.484339764243851e+44,False
639761967562953.5,1413873948314127.2,3.105341526899399e+45,3.2218587675542024e+44,False
844247980850465.0,1865788037679527.5,4.035482615548602e+45,1.5271541748880421e+44,False
1297802848484846.5,2868144295151510.5,1.801432023271716e+45,2.9671598499435218e+44,False
1946704272727270.0,4302216442727266.5,2.296352097436131e+45,6.693575688828468e+44,False
