filter,wavelength,flux_total,flux_err,flux_G,flux_G_err,flux_A,flux_A_err,flux_B,flux_B_err,flux_C,flux_C_err,flux_D,flux_D_err,source,upper_limit,observed_passband
B,4353,0,0,0,0,0.219596922212282,0.0034383560769629,0.0896243974529106,0.0027240549803761,0,0,0,0,Morgan+2001,0,0
V,5477,0,0,0,0,0.323911411726145,0.001790000611419,0.099546558182701,0.0017420295990706,0,0,0,0,Morgan+2001,0,0
R,6349,0,0,0,0,0.448359368613458,0.0053684051120625,0.138173974148484,0.0047087285300878,0,0,0,0,Morgan+2001,0,0
I,8797,0,0,0,0,0.631576916954227,0.0058170383762317,0.18811622235964,0.0058908890872369,0,0,0,0,Morgan+2001,0,0
.,8500000,3.5,0,0,0,0,0,0,0,0,0,0,0,Barvainis+2002,1,0
.,2500000,62,9,0,0,0,0,0,0,0,0,0,0,Stacey+2018,0,0
.,3500000,30,8,0,0,0,0,0,0,0,0,0,0,Stacey+2018,0,0
.,5000000,30,0,0,0,0,0,0,0,0,0,0,0,Stacey+2018,1,0
u,3551,0.343577961180262,8.7151854067435E-10,0,0,0,0,0,0,0,0,0,0,SDSS+DR14,0,0
g,4686,0.440581249215748,0,0,0,0,0,0,0,0,0,0,0,SDSS+DR14,0,0
r,6166,0.496621954287546,0,0,0,0,0,0,0,0,0,0,0,SDSS+DR14,0,0
i,7480,0.608171055906617,1.54268118082503E-09,0,0,0,0,0,0,0,0,0,0,SDSS+DR14,0,0
z,8932,0.6137873400491,1.55698347181389E-09,0,0,0,0,0,0,0,0,0,0,SDSS+DR14,0,0
F160W,16036.9,0.857169504845341,0.018579296155689,0.202565718005237,0.0115673351052362,0.518281787259109,0.0143206550077576,0.136321999580996,0.00251114403265874,0,0,0,0,CASTLES,0,0
F555W,5442.92,0.519175337206817,0.0218582563831397,0.0754204246898296,0.0138929556478465,0.347927673902259,0.0160226615073487,0.0958272386147285,0.00529560890728937,0,0,0,0,CASTLES,0,0
F814W,7995.93,0.687260507069447,0.00704601727270385,0.121916891062308,0.00561448031888497,0.446749298694761,0.0041147131019204,0.118594317312379,0.00109229402862915,0,0,0,0,CASTLES,0,0
g,4810,0.340428764714787,0.00627092959086916,0,0,0,0,0,0,0,0,0,0,Panstarrs+DR2-psf,0,0
r,6170,0.36985053300245,0.00337238480275228,0,0,0,0,0,0,0,0,0,0,Panstarrs+DR2-psf,0,0
i,7520,0.444658141953138,0.00204772641827945,0,0,0,0,0,0,0,0,0,0,Panstarrs+DR2-psf,0,0
z,8660,0.452924954021612,0.000834318597900142,0,0,0,0,0,0,0,0,0,0,Panstarrs+DR2-psf,0,0
y,9620,0.452924954021612,0.00834318597900142,0,0,0,0,0,0,0,0,0,0,Panstarrs+DR2-psf,0,0
g,4810,0.364843193860465,0.00811855727481473,0,0,0,0,0,0,0,0,0,0,Panstarrs+DR2-ap,0,0
r,6170,0.400780421732814,0.00215278027701054,0,0,0,0,0,0,0,0,0,0,Panstarrs+DR2-ap,0,0
i,7520,0.489177593861243,0.00258254803896602,0,0,0,0,0,0,0,0,0,0,Panstarrs+DR2-ap,0,0
z,8660,0.487333466646108,0.00334618212936267,0,0,0,0,0,0,0,0,0,0,Panstarrs+DR2-ap,0,0
y,9620,0.499604576086328,0.00795926318130857,0,0,0,0,0,0,0,0,0,0,Panstarrs+DR2-ap,0,0
0,1540,0.0211,0.00372,0,0,0,0,0,0,0,0,0,0,Galex,0,FUV (GALEX) AB
0,2310,0.0984,0.00165,0,0,0,0,0,0,0,0,0,0,Galex,0,NUV (GALEX) AB
0,12300,0.664,0.0446,0,0,0,0,0,0,0,0,0,0,2MASS,0,J (2MASS/FLWO)
0,16600,0.81,0.062,0,0,0,0,0,0,0,0,0,0,2MASS,0,H (2MASS/FLWO)
0,21600,0.668,0.0657999999999999,0,0,0,0,0,0,0,0,0,0,2MASS,0,K_s (2MASS/FLWO)
0,33500,1.02,0.133,0,0,0,0,0,0,0,0,0,0,WISE,0,W1 (WISE)
0,45900,2.25,0.0456,0,0,0,0,0,0,0,0,0,0,WISE,0,W2 (WISE)
0,115000,7.03,0.201,0,0,0,0,0,0,0,0,0,0,WISE,0,W3 (WISE)
0,220000,13.2,1.13,0,0,0,0,0,0,0,0,0,0,WISE,0,W4 (WISE)
LOFAR,2.08E+10,11.72,0.2,,,,,,,,,,,Luichies+2022*,,
