telescope,filter,mag,mag_err,mag_G,mag_G_err,mag_A,mag_A_err,mag_B,mag_B_err,mag_C,mag_C_err,mag_D,mag_D_err,source,lower_limit
SDSS,u,17.81,0.01,,,,,,,,,,,SDSS+DR14,
SDSS,g,17.46,	0.004809712,,,,,,,,,,,SDSS+DR14,
SDSS,r,17.42,0.01,,,,,,,,,,,SDSS+DR14,
SDSS,i,17.22,0.01,,,,,,,,,,,SDSS+DR14,
SDSS,z,17.35,0.01,,,,,,,,,,,SDSS+DR14,
PanSTARRS,g,18.0275993347168,0.00837399996817112,,,,,,,,,,,PanSTARRS+DR2,
PanSTARRS,r,,,,,,,,,,,,,PanSTARRS+DR2,
PanSTARRS,i,18.6459007263184,0.0208010002970695,,,,,,,,,,,PanSTARRS+DR2,
PanSTARRS,z,,,,,,,,,,,,,PanSTARRS+DR2,
PanSTARRS,y,,,,,,,,,,,,,PanSTARRS+DR2,
WIYN,U,,,,,17.1,,19.42,,,,,,Morgan+2003,
WIYN,B,,,,,17.8,,19.96,,,,,,Morgan+2003,
WIYN,R,,,,,17.44,,19.26,,,,,,Morgan+2003,
WIYN,I,,,20.5,,17.15,,19.05,,,,,,Morgan+2003,
