filter,wavelength,flux_total,flux_err,flux_G,flux_G_err,flux_A,flux_A_err,flux_B,flux_B_err,flux_C,flux_C_err,flux_D,flux_D_err,source,upper_limit,observed_passband,telescope,flux_sub,flux_sub_err,flux_sub_demag,flux_sub_demag_err,flux_sub_demag_test,flux_sub_demag_test_err
SPIRE_250mu,2500000.0,86.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Stacey+2018,0.0,0,Herschel,86.0,9.0,8.6,4.393176527297759,8.6,0.9
SPIRE_350mu,3500000.0,89.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Stacey+2018,0.0,0,Herschel,89.0,8.0,8.9,4.5213382974513205,8.9,0.8
SPIRE_500mu,5000000.0,53.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Stacey+2018,0.0,0,Herschel,53.0,9.0,5.3,2.798660393831306,5.3,0.9
u,3551.0,0.2729142728180106,0.0025136333450242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SDSS+DR14,0.0,0,SDSS,0.2723916696634045,0.0025162200971246516,0.02723916696634045,0.013621907645069943,0.02723916696634045,0.00025162200971246516
g,4686.0,0.3767265677835204,0.001668864210152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SDSS+DR14,0.0,0,SDSS,0.3752848674450739,0.0027829472818078405,0.037528486744507386,0.018766306969910194,0.037528486744507386,0.00027829472818078407
r,6166.0,0.3908645190689923,0.0035999952599541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SDSS+DR14,0.0,0,SDSS,0.3851985994537813,0.02162091154898672,0.03851985994537813,0.01938090660198789,0.03851985994537813,0.002162091154898672
i,7480.0,0.46992251003049,0.0043281462658342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SDSS+DR14,0.0,0,SDSS,0.458227126614984,0.011122030120836119,0.0458227126614984,0.022938335694959417,0.0458227126614984,0.0011122030120836119
z,8932.0,0.4168945799655177,0.0038397409807144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SDSS+DR14,0.0,0,SDSS,0.3997875302464217,0.003841258487723074,0.03997875302464217,0.01999306694879575,0.03997875302464217,0.0003841258487723074
g,4810.0,0.2233502870820284,0.0017226424694316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PanSTARRS+DR2,0.0,0,PanSTARRS,0.0,0.0,0.0,0.0,0.0,0.0
r,6170.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PanSTARRS+DR2,0.0,0,PanSTARRS,0.0,0.0,0.0,0.0,0.0,0.0
i,7520.0,0.126376393783778,0.0024211732031396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PanSTARRS+DR2,0.0,0,PanSTARRS,0.0,0.0,0.0,0.0,0.0,0.0
z,8660.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PanSTARRS+DR2,0.0,0,PanSTARRS,0.0,0.0,0.0,0.0,0.0,0.0
y,9620.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PanSTARRS+DR2,0.0,0,PanSTARRS,0.0,0.0,0.0,0.0,0.0,0.0
U,3576.21,0.0,0.0,0.0,0.0,0.244844488206423,0.0,0.0288995001955627,0.0,0.0,0.0,0.0,0.0,Morgan+2003,0.0,0,WIYN,0.27374398840198566,0.0,0.027374398840198565,0.013687199420099284,0.027374398840198565,0.0
