Arp 256 N      |00 18 50.2 -10 21 44|SB(s)c     | 4.5|SF    |0.03|14.32|0.84|-20.96| 8184|114.3
Arp 256 S      |00 18 50.9 -10 22 39|SB(s)b     | 3.0|SF    |0.03|14.36|0.75|-20.90| 8124|113.4
NGC 0337       |00 59 50.0 -07 34 35|SBd        | 7.0|SF    |0.10|11.83|0.91|-19.91| 1648| 22.4
CGCG 436-030   |01 20 02.6 +14 21 43|Pec        | ---|SF    |0.06|14.58|1.00|-20.98| 9353|129.9
NGC 0474       |01 20 06.7 +03 24 56|(R)SA(s)0  |-2.0|---   |0.04|11.78|1.61|-20.78| 2338| 32.8
NGC 0520       |01 24 35.6 +03 47 33|Pec        |99.0|SF/AGN|0.04|11.98|1.35|-20.88| 2278| 37.7
NGC 0584       |01 31 20.7 -06 52 05|E4         |-5.0|---   |0.04|10.84|1.68|-20.67| 1802| 20.1
NGC 0628       |01 36 41.8 +15 47 01|SAc        | 5.0|---   |0.10|10.92|1.16|-18.39|  657|  7.3
NGC 0660       |01 43 02.4 +13 38 43|SB(s)a     | 1.0|SF/AGN|0.07|11.98|1.50|-18.59|  839| 13.0
III Zw 035     |01 44 30.5 +17 06 09|Pec        | ---|SF/AGN|0.08|15.17|1.34|-20.12| 8214|114.0
NGC 0695       |01 51 14.4 +22 34 56|S0         |-2.0|SF    |0.10|13.50|1.03|-22.16| 9743|135.4
NGC 0750       |01 57 32.7 +33 12 27|Pec        |-5.0|---   |0.08|12.80|1.76|-21.49| 5156| 72.1
NGC 0855       |02 14 03.5 +27 52 38|E          |-5.0|SF    |0.09|12.52|1.06|-17.41|  592|  9.7
NGC 1068       |02 42 40.7 -00 00 47|(R)SA(rs)b | 3.0|AGN   |0.05| 9.41|1.17|-21.67| 1139| 16.5
Arp 118        |02 55 10.8 -00 10 48|Pec        |-4.3|SF/AGN|0.07|12.79|1.44|-22.63| 8634|119.9
NGC 1144       |02 55 12.2 -00 11 01|Pec        |-4.3|SF    |0.07|13.30|1.30|-22.11| 8634|119.9
NGC 1275       |03 19 48.1 +41 30 42|Pec        |99.0|---   |0.20|11.21|1.15|-23.14| 5276| 74.5
NGC 1614       |04 34 00.0 -08 34 45|SB(s)c     | 5.0|SF/AGN|0.14|12.49|1.02|-21.64| 4766| 67.4
NGC 2388       |07 28 53.4 +33 49 09|Irr        | ---|SF    |0.08|13.62|1.72|-20.34| 4137| 62.1
NGC 2403       |07 36 51.4 +65 36 09|SABcd      | 6.0|---   |0.09| 9.29|0.89|-18.18|  131|  3.1
NGC 2537       |08 13 14.4 +45 59 31|SB(s)m     | 9.0|SF    |0.06|11.98|0.92|-17.21|  419|  6.9
NGC 2623       |08 38 24.1 +25 45 17|Pec        |99.0|AGN   |0.06|13.73|1.33|-20.85| 5546| 83.2
