ID	z_phot	logMstar	logMstar_me	logMstar_pe	logSFR	logSFR_me	logSFR_pe	logage	logage_me	logage_pe	A_V	A_V_me	A_V_pe	logLdust	logLdust_me	logLdust_pe	Tdust	Tdust_me	Tdust_pe	logMdust	logMdust_me	logMdust_pe
ALESS001.1	4.78	-1.81	2.65	10.97	-0.42	0.15	2.78	-0.55	0.49	8.29	-0.64	0.47	2.0	-1.1	1.4	-0.12	-0.52	0.46	12.82	-0.45	0.43	42	-14	20	9.12	-0.46	0.49	
ALESS001.2	5.22	-2.55	2.21	10.90	-0.39	0.13	2.62	-0.73	0.45	8.36	-0.58	0.51	1.7	-0.9	1.9	-0.18	-0.41	0.59	12.66	-0.57	0.39	45	-16	21	8.69	-0.37	0.61	
ALESS001.3	3.12	-1.85	1.10	10.41	-0.88	0.41	2.46	-0.92	0.47	8.26	-0.72	0.73	3.0	-1.5	1.7	0.05	-0.52	0.61	12.55	-0.88	0.39	44	-17	20	8.39	-0.24	0.44	
ALESS002.1	3.12	-1.70	0.41	10.72	-0.62	0.01	3.08	-0.90	0.08	7.56	-0.14	0.81	2.9	-0.8	0.7	-0.53	-0.08	0.52	13.02	-0.85	0.14	56	-24	6	8.68	-0.18	0.20	
ALESS002.2	3.78	-1.06	1.69	11.00	-0.51	0.19	2.77	-0.48	0.43	8.34	-0.68	0.53	3.5	-1.5	1.4	0.19	-0.54	0.49	12.84	-0.38	0.36	48	-14	18	8.64	-0.22	0.35	
ALESS003.1	3.88	-0.76	0.90	11.37	-0.51	0.16	2.98	-0.40	0.29	8.50	-0.70	0.34	3.0	-0.9	0.8	0.13	-0.56	0.30	13.06	-0.29	0.22	43	-9	16	8.99	-0.20	0.24	
ALESS005.1	3.67	-0.20	0.05	11.46	-0.14	0.03	3.10	-0.13	0.02	8.31	-0.18	0.30	0.3	-0.1	0.0	-0.50	-0.17	0.17	12.92	-0.05	0.06	40	-3	8	9.08	-0.17	0.24	
ALESS006.1	2.88	-0.10	0.15	10.83	-0.01	0.01	2.92	-0.07	0.04	7.84	-0.01	0.44	0.4	-0.2	0.1	-0.73	-0.02	0.31	12.75	-0.03	0.05	43	-1	5	9.17	-0.20	0.02	
ALESS007.1	1.98	-0.50	0.60	11.36	-0.24	0.06	2.31	-0.28	0.45	8.59	-0.45	0.42	1.7	-0.7	0.4	-0.02	-0.30	0.10	12.59	-0.28	0.29	35	-7	11	9.16	-0.19	0.12	
ALESS009.1	4.88	-1.66	1.24	11.75	-0.28	0.09	3.16	-0.66	0.27	8.55	-0.37	0.39	2.5	-0.7	1.2	0.06	-0.34	0.43	13.24	-0.46	0.21	53	-19	13	8.85	-0.13	0.40	
ALESS010.1	1.42	-0.01	1.41	10.08	-0.01	0.01	2.28	-0.03	0.53	7.71	-0.00	0.53	3.2	-1.6	0.0	-0.13	-0.24	0.03	12.28	-0.02	0.53	41	-5	5	9.09	-0.14	0.01	
ALESS011.1	3.03	-0.45	0.25	11.46	-0.85	0.10	2.73	-0.31	0.23	8.73	-0.62	0.26	3.3	-0.8	0.7	0.26	-0.47	0.27	12.84	-0.16	0.18	45	-11	3	9.22	-0.24	0.07	
ALESS013.1	3.22	-0.60	0.75	10.92	-0.28	0.11	2.62	-0.29	0.20	8.37	-0.39	0.44	1.8	-0.7	0.3	-0.16	-0.30	0.23	12.66	-0.27	0.20	42	-8	8	9.39	-0.22	0.19	
ALESS014.1	3.38	-0.26	0.24	10.96	-0.32	0.13	3.08	-0.21	0.13	7.98	-0.62	0.65	2.7	-0.9	0.4	-0.22	-0.44	0.29	13.06	-0.13	0.12	44	-5	14	8.98	-0.15	0.21	
ALESS015.1	2.67	-0.69	0.36	11.49	-0.39	0.15	2.45	-0.59	0.34	8.89	-0.50	0.33	3.4	-1.1	1.4	0.38	-0.41	0.41	12.64	-0.33	0.23	34	-9	16	9.39	-0.20	0.18	
ALESS015.3	3.42	-2.34	4.11	10.43	-0.63	0.17	2.11	-1.43	0.68	8.43	-0.78	0.79	1.3	-1.1	2.5	-0.13	-0.59	0.69	12.15	-1.20	0.56	42	-16	19	8.51	-1.00	0.54	
ALESS017.1	2.12	-0.60	0.35	11.37	-0.55	0.01	2.46	-0.16	0.21	8.79	-0.27	0.20	1.6	-0.4	0.1	0.04	-0.22	0.01	12.60	-0.26	0.20	32	-0	4	9.33	-0.20	0.14	
ALESS018.1	2.03	-0.20	0.30	11.89	-1.29	0.03	2.40	-0.14	0.38	9.12	-0.50	0.00	2.0	-0.7	0.5	0.25	-0.30	0.00	12.69	-0.09	0.21	37	-3	2	8.99	-0.25	0.15	
ALESS019.1	3.53	-0.56	0.90	11.23	-0.66	0.21	2.94	-0.38	0.34	8.44	-0.89	0.43	3.3	-1.1	0.9	0.15	-0.68	0.36	13.01	-0.28	0.27	50	-12	14	8.68	-0.12	0.23	
ALESS019.2	2.17	-0.75	0.36	10.40	-0.49	0.17	1.81	-0.36	0.37	8.68	-0.65	0.41	1.0	-0.5	0.8	-0.16	-0.28	0.22	11.86	-0.37	0.37	34	-7	16	8.64	-0.56	0.29	
ALESS022.1	2.42	-0.75	0.46	11.60	-0.26	0.09	2.66	-0.55	0.35	8.90	-0.45	0.28	2.1	-0.5	0.5	0.11	-0.18	0.22	12.77	-0.42	0.31	40	-9	20	8.85	-0.23	0.25	
ALESS023.1	4.07	-0.95	1.55	11.18	-0.54	0.20	2.95	-0.45	0.36	8.38	-0.76	0.45	3.5	-1.4	1.2	0.16	-0.64	0.43	13.00	-0.34	0.32	49	-15	17	8.90	-0.25	0.35	
ALESS023.7	3.08	-1.75	3.85	10.28	-0.62	0.22	1.96	-1.08	0.70	8.45	-0.81	0.72	1.3	-1.1	2.5	-0.16	-0.52	0.72	12.00	-0.87	0.62	42	-16	18	8.47	-0.93	0.47	
ALESS025.1	2.67	-1.25	0.50	10.53	-0.09	0.73	2.84	-0.50	0.32	8.47	-0.56	0.44	2.2	-0.7	0.6	-0.11	-0.33	0.24	12.96	-0.63	0.24	48	-7	18	8.96	-0.16	0.21	
ALESS029.1	3.62	-0.54	0.95	11.48	-0.50	0.15	2.97	-0.39	0.35	8.57	-0.70	0.35	2.9	-1.0	1.1	0.14	-0.55	0.38	13.06	-0.21	0.28	49	-11	14	8.76	-0.14	0.17	
ALESS031.1	4.22	-1.19	1.46	11.45	-0.51	0.12	2.92	-0.49	0.39	8.56	-0.65	0.33	2.8	-0.9	1.0	0.11	-0.54	0.33	13.01	-0.37	0.31	44	-12	18	8.98	-0.23	0.37	
ALESS035.1	3.58	-0.86	0.95	11.24	-0.56	0.20	2.84	-0.54	0.37	8.51	-0.82	0.46	2.6	-1.5	1.7	0.07	-0.62	0.54	12.92	-0.33	0.30	46	-11	18	8.64	-0.12	0.24	
ALESS035.2	4.57	-2.15	3.00	10.21	-0.55	0.23	2.12	-0.61	0.51	8.26	-0.74	0.62	4.9	-3.5	4.1	0.42	-0.82	0.87	12.17	-0.48	0.47	43	-15	19	8.40	-0.42	0.55	
ALESS037.1	2.72	-0.25	0.36	11.30	-0.30	0.07	2.80	-0.61	0.31	8.51	-0.45	0.29	1.8	-0.5	0.4	-0.12	-0.34	0.14	12.84	-0.29	0.26	53	-16	14	8.49	-0.15	0.25	
ALESS037.2	3.83	-0.55	0.64	10.55	-0.27	0.10	2.33	-0.44	0.52	8.27	-0.64	0.47	0.8	-0.5	0.8	-0.39	-0.30	0.25	12.31	-0.45	0.50	47	-16	19	8.34	-0.47	0.52	
ALESS039.1	2.33	-0.35	0.50	10.65	-0.19	0.09	2.34	-0.20	0.36	8.33	-0.35	0.44	1.4	-0.4	0.3	-0.28	-0.30	0.18	12.31	-0.13	0.35	32	-4	16	9.03	-0.13	0.13	
ALESS041.1	2.17	-0.65	0.61	11.35	-0.52	0.20	2.26	-0.49	0.62	8.91	-0.68	0.38	1.7	-1.2	1.2	0.08	-0.55	0.39	12.43	-0.27	0.47	34	-7	23	9.06	-0.26	0.26	
ALESS041.3	2.97	-2.40	4.46	9.86	-0.79	0.51	2.13	-2.70	0.84	8.35	-1.08	1.13	0.7	-0.6	2.8	-0.24	-0.60	0.80	12.11	-2.46	0.71	42	-16	19	8.42	-2.42	0.73	
ALESS043.1	2.08	-0.60	0.50	11.31	-0.20	0.09	1.90	-0.39	0.56	9.07	-0.46	0.28	2.8	-0.8	1.0	0.33	-0.28	0.32	12.15	-0.21	0.40	34	-7	19	8.72	-0.30	0.26	
ALESS045.1	3.17	-0.59	0.86	11.71	-0.26	0.11	2.51	-0.46	0.39	8.85	-0.41	0.30	2.8	-0.7	0.7	0.28	-0.26	0.29	12.77	-0.30	0.26	38	-9	15	8.93	-0.22	0.22	
ALESS049.1	2.83	-0.05	0.14	10.58	-0.22	0.12	2.83	-0.05	0.09	7.75	-0.19	0.83	1.9	-1.1	0.3	-0.33	-0.31	0.10	12.83	-0.07	0.04	46	-3	0	9.04	-0.12	0.04	
