Galaxy	RA(J2000)	Dec(J2000)	z	log(LIR/L⊙)	F25/F60
IRAS00199-7426		−74°09′42′′	0.0963	12.29	0.078
IRAS01494-1845		−18°30′46′′	0.1579	12.2	0.059
IRASZ02376-0054		−00°42′04′′	0.4097	12.39	0.024
IRAS04114-5117		−51°09′41′′	0.1245	12.18	0.035
IRAS06009-7716		−77°16′39′′	0.1169	12	0.083
IRASF08208+3211		+32°02′12′′	0.3957	12.32	0.024
IRASF10156+3705		+36°49′52′′	0.4897	12.46	0.016
IRAS10565+2448		+24°32′35′′	0.0431	12.03	0.105
IRAS12112+0305		+02°48′38′′	0.0726	12.27	0.057
IRAS13120-5453		−55°09′23′′	0.0307	12.24	0.073
IRAS16334+4630		+46°24′53′′	0.1909	12.37	0.067
IRAS17208-0014		−00°17′01′′	0.043	12.39	0.05
IRAS19297-0406		−03°59′56′′	0.0857	12.38	0.071
IRAS19458+0944		+09°52′05′′	0.0999	12.31	0.064
IRAS20414-1651		−16°40′16′′	0.087	12.16	0.061
IRAS22491-1808		−17°52′23′′	0.0772	12.15	0.097
