Lens name	Type	Δθ (arcsec)	zs	S250μm(mJy)	S350μm(mJy)	S500μm(mJy)	Comments	References
HE 0047−1756 	N 	1.44 	1.676 	197(9) 	130(8) 	60(9) 	 	 
CLASS B0128+437 	J 	0.55 	3.114 	<33 	<33 	<36 	 	 
Q J0158−4325 	N 	1.22 	1.29 	39(9) 	38(8) 	<27 	 	 
JVAS B0218+357 	J 	0.34 	0.96 	89(7) 	122(7) 	120(8) 	 	 
HE 0230−2130 	N 	2.05 	2.162 	126(9) 	109(8) 	77(9) 	 	 
SDSS J0246−0825 	N 	1.19 	1.68 	88(7) 	75(7) 	30(8) 	 	 
CFRS 03.1077 	N 	2.1 	2.941 	43(7) 	44(7) 	<37 	 	 
MG J0414+0534 	J 	2.4 	2.64 	266(7) 	190(8) 	112(10) 	 	 
HE 0435−1223 	N 	2.42 	1.689 	133(7) 	101(7) 	53(9) 	 	 
CLASS B0445+123 	J 	1.35 	– 	<38 	<50 	<42 	 	 
HE 0512−3329 	N 	0.65 	1.57 	60(7) 	39(9) 	<32 	 	 
CLASS B0631+519 	J 	1.16 	– 	63(12) 	82(7) 	71(12) 	 	 
CLASS B0712+472 	J 	1.46 	1.34 	<33 	<28 	<36 	 	 
CLASS B0739+366 	J 	0.53 	– 	69(6) 	61(10) 	<40 	 	 
SDSS J0746+4403 	N 	1.11 	2.0 	<30 	<27 	<27 	 	Inada et al. (2007) 
MG J0751+2716 	J 	0.7 	3.21 	102(4) 	105(3) 	78(4) 	 	 
SDSS J0806+2006 	N 	1.4 	1.54 	40(9) 	<21 	<26 	 	Inada et al. (2006) 
HS 0810+2554 	N 	0.96 	1.5 	186(9) 	98(8) 	53(10)† 	†Possible blending 	 
HS 0818+1227 	N 	2.83 	3.115 	<30 	<28 	<30 	 	 
SDSS J0819+5356 	N 	4.04 	2.239 	40(9) 	40(8) 	<40 	 	Inada et al. (2009) 
SDSS J0820+0812 	N 	2.2 	2.024 	49(9) 	54(8) 	<32 	 	Jackson, Ofek & Oguri (2009) 
APM 08279+5255 	N 	0.38 	3.91 	621(3) 	437(3) 	259(4) 	 	Downes et al. (1999) 
SDSS J0832+0404 	N 	1.98 	1.116 	<30 	<30 	<32 	 	Oguri et al. (2008a) 
CLASS B0850+054 	J 	0.68 	– 	57(9) 	45(7) 	<32 	 	 
SDSS J0903+5028 	N 	2.99 	3.605 	227(11) 	182(8) 	<50 	 	Johnston et al. (2003) 
SDSS J0904+1512 	N 	1.13 	1.826 	27(7) 	<30 	<47 	 	Kayo et al. (2010) 
SBS J0909+523 	J 	1.17 	1.38 	<27 	<30 	<47 	 	 
RX J0911+0551 	N 	2.47 	2.79 	181(11) 	176(9) 	97(9) 	 	 
RX J0921+4529 	N 	6.97 	1.65 	<26 	<30 	<30 	 	 
SDSS J0924+0219 	N 	1.75 	1.524 	67(8) 	56(8) 	32(10) 	 	Inada et al. (2003) 
FBQS J0951+2635 	J 	1.11 	1.24 	<30 	<30 	<41 	 	 
Q 0957+561 	J 	6.26 	1.41 	108(10) 	81(7) 	<30 	 	 
SDSS J1001+5027 	N 	2.82 	1.84 	30(9) 	<27 	<30 	 	 
SDSS J1004+1229 	J 	1.54 	2.65 	<26 	<26 	<41 	 	 
LBQS J1009−0252 	N 	1.54 	2.74 	<25 	<27 	<27 	 	 
SDSS J1011+0143 	N 	3.67 	2.701 	<28 	<30 	<40 	 	 
Q 1017−207 	N 	0.85 	2.55 	<27 	<30 	<40 	 	 
SDSS J1021+4913 	N 	1.14 	1.72 	38(9) 	28(8) 	<30 	 	 
IRAS F10214+4724 	J 	1.59 	2.29 	416(5) 	303(4) 	169(4) 	 	 
SDSS J1029+2623 	N 	22.5 	2.197 	49(5) 	47(6) 	30(5) 	 	 
JVAS B1030+074 	J 	1.65 	1.54 	35(6) 	44(9) 	63(11) 	 	 
SDSS J1054+2733 	N 	1.27 	1.452 	88(9) 	84(8) 	55(9) 	 	Kayo et al. (2010) 
SDSS J1055+4628 	N 	1.15 	1.249 	<28 	<30 	<33 	 	Kayo et al. (2010) 
HE 1104−1805 	N 	3.19 	2.32 	139(7) 	122(7) 	88(10) 	 	 
PG 1115+080 	N 	2.32 	1.72 	69(17) 	40(7) 	<39 	 	 
CLASS B1127+385 	J 	0.74 	– 	90(9) 	105(7) 	56(10) 	 	 
RX J1131−1231 	N 	3.8 	0.658 	285(7) 	166(8) 	62(9) 	 	 
MG J1131+0456 	J 	2.1 	– 	<25 	<32 	<32 	 	 
SDSS J1131+1915 	N 	1.46 	2.915 	<28 	<30 	<30 	 	Kayo et al. (2010) 
SDSS J1138+0314 	N 	1.34 	2.44 	33(7) 	<27 	<38 	 	 
SDSS J1155+6346 	N 	1.95 	2.89 	29(7) 	30(6) 	<30 	 	 
CLASS B1152+200 	J 	1.59 	1.019 	37(10) 	<30 	<32 	 	 
SDSS J1206+4332 	N 	2.9 	1.79 	95(7) 	70(8) 	<31 	 	 
Q 1208+101 	N 	0.48 	3.82 	61(9) 	52(7) 	<36 	 	 
SDSS J1216+3529 	N 	1.49 	2.013 	<32 	<32 	<30 	 	Oguri et al. (2008a) 
HST 12531−2914 	N 	1.23 	– 	<28 	<26 	<32 	 	 
SDSS J1258+1657 	N 	1.28 	2.702 	46(7) 	54(8) 	60(13) 	 	Inada et al. (2009) 
SDSS J1304+2001 	N 	1.87 	2.175 	27(6) 	26(7) 	<30 	 	Kayo et al. (2010) 
SDSS J1313+5151 	N 	1.24 	1.877 	49(6) 	<30 	<36 	 	Ofek et al. (2007) 
SDSS J1322+1052 	N 	2.0 	1.711 	87(10) 	79(7) 	57(9) 	 	Oguri et al. (2008a) 
SDSS J1330+1810 	N 	1.76 	1.393 	126(7) 	91(7) 	36(11) 	 	Oguri et al. (2008b) 
SDSS J1332+0347 	N 	1.14 	1.445 	<27 	<30 	<32 	 	 
LBQS J1333+0113 	N 	1.63 	1.57 	90(9) 	80(7) 	55(10) 	 	 
SDSS J1339+1310 	N 	1.69 	2.241 	27(8) 	<30 	<32 	 	Inada et al. (2009) 
SDSS J1349+1227 	N 	3.0 	1.722 	59(8) 	52(8) 	32(9) 	 	Kayo et al. (2010) 
SDSS J1353+1138 	N 	1.41 	1.629 	69(9) 	43(7) 	<30 	 	 
Q 1355−2257 	N 	1.23 	1.37 	28(7) 	30(8) 	<32 	 	 
CLASS B1359+154 	J 	1.71 	3.235 	139(7) 	99(7) 	64(9)† 	†Possible blending 	 
SDSS J1400+3134 	N 	1.74 	3.317 	45(7) 	28(9) 	<42 	 	Inada et al. (2009) 
SDSS J1402+6321 	J 	1.35 	0.48 	<27 	<25 	<30 	 	 
SDSS J1406+6126 	N 	1.98 	2.13 	<35 	<36 	<41 	 	 
HST 14113+5211 	N 	1.8 	2.81 	<28 	<30 	<34 	 	 
H 1413+117 	J 	1.35 	2.55 	521(3) 	403(3) 	247(4) 	 	 
JVAS B1422+231 	J 	1.68 	3.62 	36(11) 	<30 	<45 	 	 
SDSS J1455+1447 	N 	1.73 	1.424 	54(7) 	34(7) 	<30 	 	Kayo et al. (2010) 
SBS J1520+530 	N 	1.59 	1.86 	54(9) 	43(8) 	<33 	 	 
SDSS J1524+4409 	N 	1.67 	1.21 	43(10) 	32(7) 	<30 	 	Oguri et al. (2008a) 
HST 15433+5352 	N 	1.18 	2.092 	<30 	<30 	<47 	 	 
MG J1549+3047 	J 	1.7 	1.17 	<28 	<32 	<36 	Lensed radio lobe 	 
CLASS B1555+375 	J 	0.42 	– 	<29 	<30 	<30 	 	 
CLASS B1600+434 	J 	1.4 	1.59 	36(6) 	27(6) 	<39 	Star-forming lens galaxy 	 
CLASS B1608+656 	J 	2.27 	1.39 	33(6) 	33(4) 	28(5) 	 	 
SDSS J1620+1203 	N 	2.77 	1.158 	<26 	<28 	<40 	 	Kayo et al. (2010) 
PMN J1632−0033 	J 	1.47 	3.424 	<24 	35(6) 	56(9) 	 	 
FBQS J1633+3134 	J 	0.75 	1.52 	62(9) 	30(8) 	<30 	 	 
SDSS J1650+4251 	N 	1.23 	1.54 	86(9) 	89(8) 	53(9) 	 	 
MG J1654+1346 	J 	2.1 	1.74 	<34 	<30 	<43 	Lensed radio lobe 	 
PKS J1830−211 	J 	0.99 	2.51 	537(9) 	670(9) 	806(11) 	 	 
PMN J1838−3427 	J 	0.99 	2.78 	65(5) 	90(6) 	86(8) 	 	 
CLASS B1933+503 	J 	1.0 	1.71 	243(7) 	212(8) 	125(10) 	 	 
